caption,caption_triples
"whiskers, nose, and eye on a cat's head	","whiskers, nose, and eye on a cat's head,"
a plant in a pot and some plants on a box	,"plant in a pot, plants on a box."
characters on a surface with a fork on top of them and eggs	,"characters on a surface, a fork on top of characters, eggs with characters"
"a sign that says ""no dogs allowed"" next to a playground that has a fence and a bench. there is a building behind the playground.	","a sign next to a playground, a playground with a fence, a playground with a bench, a building behind the playground"
a towel holder attached to a wall with a towel inside a sink	,"a towel holder attached to a wall, a towel inside a sink"
a man wearing a hat and shirt. the hat has a logo and the photo has an emblem	,"a man wearing a hat, a man wearing a shirt, a hat with a logo, a photo with an emblem"
"a laptop, suitcase, and glasses on a table, and a cat with a tail	","a laptop on a table, a suitcase on a table, glasses on a table, a cat with a tail"
a green light on a speaker that has a light. there is a cat laying on a desk. the cat has eyes.	,"a green light on a speaker, a speaker with a light, a cat laying on a desk, the cat has eyes"
a mirror with a reflection of a sink in a bathroom. the bathroom has a tank against the walls.	,"a mirror with a reflection of a sink, a bathroom with a mirror, a bathroom with a tank against the walls"
truck driving through an intersection with a sign on the street and a line in the road. there is a person standing beside the road.	,"a truck driving through an intersection, a sign on the street, a line in the road, a person standing beside the road"
"a man wearing pants and a hat, holding a ball. a woman with hair is next to him.	","a man wearing pants and a hat, a man holding a ball, a woman with hair next to the man"
man sitting in a chair with a lamp to his right. the man is wearing a shirt and has a shoe on his foot.	,"a man sitting in a chair, a lamp to the right of the man, the man wearing a shirt, a shoe on the man's foot"
"a plate with broccoli and noodles, and a plate with patterns and meat	","a plate with broccoli, a plate with noodles, a plate with patterns, a plate with meat"
a sidewalk next to a body of water with a mountain in the background. the sidewalk has markings on it and there is a bicycle in a row.	,"a sidewalk next to a body of water, a mountain in the background, a sidewalk with markings, a bicycle in a row"
"an airplane taxiing down a runway with its tail, and another airplane parked on the ground with its nose	","an airplane taxiing down a runway, an airplane with its tail, another airplane parked on the ground, an airplane with its nose"
"man with head, hand, and feet touching a snowboard with snow in the sky	","a man with a head, hand, and feet, a snowboard being touched by the man, snow in the sky"
a man wearing pants sitting on a bench on a sidewalk. the man has a nose. there is a wall behind the bench.	,"a man wearing pants sitting on a bench, a bench on a sidewalk, the man has a nose, a wall behind the bench"
a man wearing jeans and holding an umbrella with an edge. he has a bag over his shoulder and a woman is behind him.	,"a man wearing jeans, a man holding an umbrella, an umbrella with an edge, a bag over the man's shoulder, a woman behind the man"
"a sandwich and fries on a board, sitting on a table	","a sandwich on a board, fries on a board, a board on a table"
"pizza with leaves, dough, and shrimp on a plate	","pizza on a plate, leaves on pizza, dough on pizza, shrimp on pizza"
"a bird with feet, legs, a head, and an eye standing on a piece of wood	","a bird with feet, legs, a head, and an eye, a piece of wood with a bird"
a person standing on a bench with a sign. the bench is on top of a brick. the person has legs and shoes.	,"a person standing on a bench, a bench with a sign, a bench on top of a brick, the person has legs, the person has shoes"
a bicycle with a seat and tire. a dog with a black nose is next to the bicycle.	,"a bicycle with a seat, a bicycle with a tire, a dog next to the bicycle, a dog with a black nose"
"an elephant with its trunk up, tusks showing, and its eye and nose visible, in front of trees	","an elephant with its trunk up, tusks showing, an elephant with its eye visible, an elephant with its nose visible, an elephant in front of trees"
street light with post on road in city. there is a building inside the city with an awning over a window.	,"street light with post on road, street light in city, a building inside the city, an awning over a window on the building"
"a boat with a chair, logo, and door built into it, on a river with chairs in front of it	","a boat with a chair, a boat with a logo, a boat with a door, a boat on a river, chairs in front of the boat"
"a cow on the floor and a bicycle on the street, with windows on the floor	","a cow on the floor, a bicycle on the street, windows on the floor"
"a woman's hand holding a hot dog, with shades on her head	","a woman's hand holding a hot dog, shades on her head"
"an elephant with a baby elephant next to it. the elephant has a front leg, tail, and ear.	","an elephant with a baby elephant next to it, the elephant with a front leg, the elephant with a tail, the elephant with an ear"
"a laptop with a keyboard, key, and button. a cat is walking on the laptop.	","a laptop with a keyboard, a laptop with a key, a laptop with a button, a cat walking on the laptop"
trees on one side of the road and a sign with lettering on the other side of the road. there is a pole holding another sign and a dandelion around the sign.	,"trees on one side of the road, a sign with lettering on the other side of the road, a pole holding another sign, a dandelion around the sign"
a bowl of food with bread in powder and a garnish with a bowl	,"a bowl of food with bread in powder, a garnish with a bowl"
a cup with a wheat motif and a handle. there is a cat inside of the cup with a wheat stalk across it. the cat has a paw.	,"a cup with a wheat motif, a cup with a handle, a cat inside the cup, a wheat stalk across the cup, the cat with a paw"
a brake pedal on the floor; a gas pedal in a vehicle; a cat inside a car; a vent in a car	,"a brake pedal on the floor, a gas pedal in a vehicle, a cat inside a car, a vent in the car"
"a fridge with a dispenser, stickers, and a broom standing next to it. the fridge is against a wall with cabinets.	","a fridge with a dispenser, a fridge with stickers, a broom standing next to the fridge, the fridge against a wall with cabinets"
woman wearing pants on board on floor	,woman wearing pants on board on floor
"another elephant next to elephant, rocks near pool, and another rock on dirt	","another elephant next to an elephant, rocks near pool, another rock on dirt"
a toilet with a tank and handle. there is a toilet below the tank and a shadow under the tank.	,"a toilet with a tank, a toilet with a handle, a toilet below the tank, a shadow under the tank"
three elephants on the ground. one elephant has its leg up. another elephant has its eye closed.	,"three elephants on the ground, one elephant with its leg up, another elephant with its eye closed"
"letters on an arrow for clothing, with a sign that has writing, on a brick building	","letters on an arrow for clothing, a sign with writing on a brick building"
a man is working on a laptop on a table. there is an apple computer and paper on the table.	,"a man working on a laptop on a table, an apple computer on the table, paper on the table"
"brown cow with horns in an ear, and a cow grazing in a field	","brown cow with horns in an ear, a cow grazing in a field"
a silver car driving down the street with other cars and trees	,"a silver car driving down the street, the car with other cars, the car with trees"
"sheep with a head and back leg, and another sheep on grass in a field	","sheep with a head and back leg, another sheep on grass, the sheep in a field"
"bird, another bird, and another bird on a beach with the head of a bird, and the reflection of another bird in the ocean	","bird on a beach, another bird on a beach, the head of a bird, the reflection of another bird in the ocean"
"water, hill, and shore in the background, with a house in the foreground that has a roof and a sign on the side	","water in the background, hill in the background, shore in the background, a house in the foreground, the house with a roof, the house with a sign on the side"
a sign that says 'no through road' and a pole in the ground	,"a sign that says 'no through road', a pole in the ground"
a room with a table at the center and a bottle of juice on top of the table	,"a room with a table at the center, a bottle of juice on top of the table"
"man wearing jeans with a cake that has candles on top of it, and flames on top of the candles	","man wearing jeans, a cake with candles on top of it, flames on top of the candles"
"flag, letters, and another flag on another truck, and light on another truck	","flag on another truck, letters on another truck, another flag on another truck, light on another truck"
"bird in backs beak, another bird on water, reflection of bird, and ripples under another bird	","bird in backs beak, another bird on water, reflection of bird, ripples under another bird"
boy wearing pants and holding a ball in his hand with a mitt.	,"boy wearing pants, holding a ball in his hand, a mitt on his hand"
"panda sitting on a bench with an ear and a backpack, and a statue with a face	","panda sitting on a bench, the panda with an ear, the panda with a backpack, a statue with a face"
black cord leading from a laptop to a computer in a room with a cd	,"black cord leading from a laptop, the cord to a computer in a room, a cd in the room"
"words on a sign on a bus, and a tree with leaves on a road	","words on a sign on a bus, a tree with leaves on a road"
"black eye and mouth on a giraffe, and wall and nostril on another giraffe	","black eye and mouth on a giraffe, wall and nostril on another giraffe"
"man with a shirt and button, and another man with glasses, and a pole behind the first man	","man with a shirt and button, another man with glasses, a pole behind the first man"
"fire hydrant, another hydrant, and shoe with a chain on it. a kid is playing on the another hydrant	","fire hydrant, another hydrant, shoe with a chain on it, a kid playing on another hydrant"
van and car driving down a street with fruit stands and a person buying from them	,"van and car driving down a street, the street with fruit stands, a person buying from the stands"
"elephant eating another grass, with another grass and water next to it, and elephant trunk near it	","elephant eating another grass, another grass next to it, water next to it, elephant trunk near it"
"a bear with eyes, nose, and ears, near rocks and bushes	","a bear with eyes, nose, and ears, the bear near rocks, the bear near bushes"
grass by a railing with green trees behind a guardrail and people on the road	,"grass by a railing, green trees behind a guardrail, people on the road"
"bird standing on a branch with chest and tail, and another bird with a feather	","bird standing on a branch, bird with chest, bird with tail, another bird with a feather,"
"dirt, rocks, and goats on mountains with the sky above them	","dirt on mountains, rocks on mountains, goats on mountains, sky above mountains,"
"man with a bracelet and tattoo on his arm, sitting on a bench in front of water	","man with a bracelet, man with tattoo on arm, man sitting on a bench, bench in front of water,"
bike with a tire and a kick stand near a window with a shadow on the floor	,"bike with a tire, bike with a kick stand, bike near a window, shadow on the floor,"
"vegetable, peppers, and another vegetable on a pillow, and lettuce on a table	","vegetable on a pillow, peppers on a pillow, another vegetable on a pillow, lettuce on a table,"
"tray with a cupholder on a highchair, and a chair with a frame for a baby	","tray on a highchair, tray with a cupholder, highchair with a frame for a baby, chair with a frame,"
"blonde hair, baby, and cake on a table with a chair and cupholder	","blonde hair on a table, baby on a table, cake on a table, table with a chair, table with cupholder,"
elephants in a herd around trees with leaves and grass	,"elephants in a herd, elephants around trees, trees with leaves, grass around trees,"
"pizza with meat and tomato on a plate, on a table with paper underneath it	","pizza with meat on a plate, pizza with tomato on a plate, plate on a table, table with paper underneath,"
"bus with a wheel that has a hubcap, a door, and an i, and there is a glare on the bus	","bus with a wheel, wheel with a hubcap, bus with a door, bus with an i, glare on the bus,"
"man with his foot on the door, wearing black pants and a shirt	","man with his foot on the door, man wearing black pants, man wearing a shirt,"
"person and another person behind a bus with headlights on it, and a shadow on the pavement	","person behind a bus, another person behind a bus, bus with headlights, shadow on the pavement,"
"leaves, dirt, rock, and leaf with a bird that has feathers	","leaves on the ground, dirt on the ground, rock on the ground, leaf with a bird, bird with feathers,"
"bus with bike holder and wheels, and another bus with a front window and headlight	","bus with bike holder, bus with wheels, another bus with a front window, another bus with headlight,"
"a row of windows on a boat, and a ferry on water	","row of windows on a boat, ferry on water,"
"railing, sidewalk, hydrant, grass, and weed, with red paint on the hydrant	","railing, sidewalk, hydrant with red paint, grass, weed,"
a cat with a body and nose near a wall	,"cat with a body, cat with a nose, cat near a wall,"
"a notch to secure the blender, a carrot in a bowl, and another carrot in the blender	","notch to secure the blender, carrot in a bowl, carrot in the blender,"
"window on a roof, window on a side of a building, black hands on a building, and hands on black hands	","window on a roof, window on a side of a building, black hands on a building, hands on black hands,"
"bicycle laying in grass with a wheel, and a chair on a pad on the grass	","bicycle laying in grass, bicycle with a wheel, chair on a pad, chair on the grass."
bed with a white sheet and a pillow with black letters on it	,"bed with a white sheet, pillow with black letters on it"
"man with a bandana on his head, showing his hand, with a pole behind him in a field	","man with a bandana on his head, showing his hand, pole behind him in a field"
"dog with nostrils and a mouth, and the dog's eyes	","dog with nostrils, dog with a mouth, dog's eyes"
person snowboarding down a slope in front of a fence with a banner; snow is in front of the banner	,"person snowboarding down a slope, fence with a banner, snow in front of the banner"
a bear with a tuxedo sitting at a table with a tablecloth and a glass.	,"bear with a tuxedo sitting at a table, table with a tablecloth, glass on the table"
a dog sitting in a truck with a wall in front of it. there is a tire in the truck.	,"dog sitting in a truck, wall in front of the truck, tire in the truck"
a woman with a bag and a vest waiting at a bus stop. the bus has a license plate and an lcd screen in front of it.	,"woman with a bag and a vest at a bus stop, bus with a license plate, lcd screen in front of the bus"
"planes in the sky, with trails behind them and a tail with a logo on it	","planes in the sky, trails behind the planes, tail with a logo on it"
"a catcher in a uniform with a mitt, a man holding a bat, and an umpire touching the catcher.	","catcher in a uniform with a mitt, man holding a bat, umpire touching the catcher"
"a zebra with a head, eating grass, with a leg and nose	","zebra with a head, eating grass, zebra with a leg and nose"
a horse and a cow near each other; the horse has a leg and the cow has a head and ear.	,"horse and cow near each other, horse with a leg, cow with a head and ear"
"squash in a pot on a stove, and a vegetable pot on the floor	","squash in a pot on a stove, vegetable pot on the floor"
a polar bear swimming with its front leg and ear above water; there is greenery planted above the water.	,"polar bear swimming, front leg and ear above water, greenery planted above the water"
people sitting on the side of the road watching an elephant entertain a person	,"people sitting on the side of the road, elephant entertaining a person"
man on a motorcycle with a vest and a shoulder; the motorcycle is in the road and the motorbike is parked on the road.	,"man on a motorcycle with a vest, motorcycle in the road, motorbike parked on the road"
"bus with a window, door, and advertisement; people talking on the side of the bus	","bus with a window, door, and advertisement, people talking on the side of the bus"
"a girl holding a bird with eyes, and a shirt with a button	","girl holding a bird with eyes, shirt with a button"
the name on the train's bumper as it passes through trees and under the sky.	,"name on the train's bumper, train passing through trees, train under the sky"
fire hydrant with protective poles and a bolt on top; paint is scraped off the poles	,"fire hydrant with protective poles, bolt on top of the hydrant, paint scraped off the poles"
a pizza on a paper plate; a cake on a knee	,"pizza on a paper plate, cake on a knee"
"a toilet, two buckets, and a plunger on a sidewalk; there is a trash container next to the sidewalk.	","a toilet on a sidewalk, two buckets on a sidewalk, a plunger on a sidewalk, a trash container next to the sidewalk,"
"an oven with a door, a knob, and a handle. there is a leg on the oven.	","an oven with a door, a knob on an oven, a handle on an oven, a leg on the oven,"
"a parrot with a beak, head, and eye; there is a yellow circle in the eye	","a parrot with a beak, a parrot with a head, a parrot with an eye, a yellow circle in the eye,"
a girl wearing sunglasses and a woman holding a phone and a bracelet	,"a girl wearing sunglasses, a woman holding a phone, a woman holding a bracelet,"
a street sign in front of a light near a building. there are signs on a post.	,"a street sign in front of a light, a light near a building, signs on a post,"
a cat's paws on a keyboard with letters. there is a touchpad next to the keyboard.	,"a cat's paws on a keyboard, a keyboard with letters, a touchpad next to the keyboard,"
dog on a black beach under a sky with clouds	,"dog on a black beach, a beach under a sky with clouds,"
"a panel with writing, boards over an area, and graffiti on the ceiling.	","a panel with writing, boards over an area, graffiti on the ceiling,"
boy in midair with his hand on his head and a building behind him	,"boy in midair with his hand on his head, a building behind the boy,"
"a pillow with a polka dot design. a girl is laying on the pillow, wearing a bra.	","a pillow with a polka dot design, a girl laying on a pillow, a girl wearing a bra,"
luggage on top of a dresser with two drawers; there is a knob on each drawer	,"luggage on top of a dresser, a dresser with two drawers, a knob on each drawer,"
a couch with an arm and clothes folded on it; a man with gold on his arm	,"a couch with an arm, clothes folded on a couch, a man with gold on his arm,"
"boy with blue eyes and hair, wearing a white shirt and baseball glove	","boy with blue eyes, boy with hair, wearing a white shirt, wearing a baseball glove,"
a bicycle next to a wall with a tire; there are spokes on the tire	,"a bicycle next to a wall, a wall with a tire, spokes on the tire,"
a design on a plate with a cake on top of it and a fork laying on the plate with its tines up.	,"a design on a plate, a cake on top of a plate, a fork laying on the plate with its tines up,"
"squash, onions, and cabbage on a mat and table	","squash on a mat, onions on a mat, cabbage on a table,"
"a book and another book on a table, and a basket under an umbrella	","a book on a table, another book on a table, a basket under an umbrella,"
a woman wearing blue jeans and a brown bag around her waist. she has a purse on her.	,"a woman wearing blue jeans, a brown bag around her waist, a purse on her,"
boy's shadow on the ground with a skateboard; the road has stripes painted on it	,"boy's shadow on the ground, a skateboard on the ground, the road has stripes painted on it,"
"man wearing a strawberry on his head, with a pizza on a plate. the pizza has an orange on it.	","man wearing a strawberry on his head, a pizza on a plate, the pizza has an orange on it."
leaves on a tree along a canal with steps in the water	,"leaves on a tree, a tree along a canal, steps in the water."
a sign on a metal pole in front of a bush	,"a sign on a metal pole, a pole in front of a bush."
a boy wearing pants and shoes in the snow in front of a building	,"a boy wearing pants, a boy wearing shoes, a boy in the snow, a boy in front of a building."
"a bed with a headboard, pillows, and a picture on the wall behind it	","a bed with a headboard, pillows on a bed, a picture on the wall, a wall behind a bed."
words has word another word. there is a right.	,"words with another word, a right word."
a sign with a light and a logo; the logo has an eagle on top of it	,"a sign with a light, a logo on a sign, an eagle on top of the logo."
"man on a bike wearing a helmet and gloves, with a wall behind him	","man on a bike, a man wearing a helmet, a man wearing gloves, a wall behind the man."
a hand on a woman's lap and a nail on the woman's hand.	,"a hand on a woman's lap, a nail on a woman's hand."
a train boarding another platform that has an overhang casting a shadow	,"a train boarding a platform, a platform with an overhang, an overhang casting a shadow."
"grass in front of a foot, with a zebra eating grass in front of rocks	","grass in front of a foot, a zebra eating grass, a zebra in front of rocks."
there is a bus in front of a window and a truck is moving the bus. the yellow light is behind the bus.	,"a bus in front of a window, a truck moving the bus, a yellow light behind the bus."
a rivet on a board and a bench with a rivet. there is also a water bottle on the board.	,"a rivet on a board, a bench with a rivet, a water bottle on the board."
a man wearing a shirt and glasses is standing on a street with white lines	,"a man wearing a shirt, a man wearing glasses, a man standing on a street, white lines on the street."
a building with windows and a car on the street. the building has a long roof.	,"a building with windows, a car on the street, a building with a long roof."
a pole with a cross on it near the water on the beachwalk	,"a pole with a cross, a pole near the water, a pole on the beachwalk."
"a ball above a clock, an arrow above a compass, and the clock has a number	","a ball above a clock, an arrow above a compass, a clock with a number."
"lights on the wall and a light next to the headboard, and fabric on the headboard	","lights on the wall, a light next to the headboard, fabric on the headboard."
"a woman wearing a jacket and holding a luggage handle, and a man helping her onto a train	","a woman wearing a jacket, a woman holding a luggage handle, a man helping her onto a train."
"animal lying on another laptop, with paw on animal and camera on laptop	","animal lying on a laptop, a paw on the animal, a camera on the laptop."
grass on a plate and sauce in a cup	,"grass on a plate, sauce in a cup."
"light above sink in bathroom, with another sink and toilet seat	","light above a sink, another sink in bathroom, toilet seat in bathroom,"
a man wearing a glove and a helmet is skateboarding with trees in the background.	,"a man wearing a glove, a man wearing a helmet, the man skateboarding with trees in the background,"
"a chair with wood and a cat with eyes, and wood pads on the chair	","a chair with wood, a cat with eyes, wood pads on the chair,"
a dog with a nose and a head out of a car. the car has a mirror	,"a dog with a nose, a dog with a head out of a car, the car with a mirror,"
a wall along a street with a car on the road and a motorcycle parked on the side	,"a wall along a street, a car on the road, a motorcycle parked on the side,"
"a cellphone on a table, a bowl on the table, and a pizza on a plate	","a cellphone on a table, a bowl on the table, a pizza on a plate,"
"a bracket on a sign with a pole, and branches behind another sign	","a bracket on a sign, a sign with a pole, branches behind another sign,"
a line on a road with a house on the side of the road and a mountain range in the background	,"a line on a road, a house on the side of the road, a mountain range in the background,"
a dog in a window and a bear in the window with another bear wearing a dress	,"a dog in a window, a bear in the window, another bear wearing a dress in the window,"
"a windshield wiper on the front of a windshield, and a bus driving on a road with a window on the side	","a windshield wiper on the front of a windshield, a bus driving on a road, a window on the side of the bus,"
"a man waiting for a drink, and a woman wearing an apron pouring another drink	","a man waiting for a drink, a woman wearing an apron, the woman pouring another drink,"
"a building next to a train, with a bush on the side of the building and a roof on top of the building	","a building next to a train, a bush on the side of the building, a roof on top of the building,"
a step by a toilet with a pipe attached to the wall and a handle on the toilet	,"a step by a toilet, a pipe attached to the wall, a handle on the toilet,"
another giraffe in a grey sky with a giraffe by some rocks and a tree behind it	,"another giraffe in a grey sky, a giraffe by some rocks, a tree behind the giraffe,"
"player with hair and a ball moving away from them, wearing a visor with a nike logo	","player with hair, a ball moving away from the player, the player wearing a visor with a nike logo,"
"a man with a frown on his face, and another man in a lake	","a man with a frown on his face, another man in a lake,"
"a horse pulling a cart with a man sitting on the wagon, and an animal pulling the cart.	","a horse pulling a cart, a man sitting on the wagon, an animal pulling the cart,"
leaves toting a bicycle and a motorcycle with a man next to the bicycle	,"leaves toting a bicycle, a motorcycle with a man next to the bicycle,"
cake on plate and a counter with another cake and icing	,"cake on plate, a counter with another cake, icing on the counter,"
a cat on furniture with a pillow next to it and a remote with a button	,"a cat on furniture, a pillow next to the cat, a remote with a button."
